22.53;985.77;69.79;3.29;231.26;119
22.29;985.79;70.80;3.07;231.00;119
22.11;985.81;73.10;3.12;230.83;119
22.01;985.83;71.81;3.38;230.83;119
21.95;985.82;69.51;3.69;230.92;119
21.92;985.81;69.71;4.01;231.09;119
21.92;985.80;69.36;4.30;231.09;119
21.91;985.78;67.98;4.62;231.18;119
21.91;985.78;67.64;4.94;231.34;119
21.90;985.77;67.60;5.21;231.26;119
21.90;985.77;66.90;5.49;231.34;119
21.88;985.77;66.97;5.80;231.26;119
21.88;985.78;67.33;5.96;231.18;119
21.87;985.79;68.41;6.25;231.09;119
21.87;985.80;67.91;6.50;231.09;119
21.88;985.80;69.69;6.66;230.92;119
21.89;985.81;70.42;6.86;230.92;119
21.90;985.82;70.60;7.00;230.83;119
21.90;985.83;70.52;7.24;230.75;119
21.90;985.84;70.19;7.39;230.67;119
21.90;985.86;70.05;7.67;230.58;119
21.90;985.86;69.91;7.88;230.58;119
21.89;985.86;70.32;8.07;230.58;119
21.89;985.85;70.09;8.27;230.67;119
21.88;985.85;70.16;8.45;230.58;119
21.87;985.84;70.13;8.59;230.75;119
21.86;985.83;70.17;8.84;230.75;119
21.85;985.83;70.53;8.95;230.92;119
21.84;985.81;70.55;9.25;231.00;119
21.84;985.81;70.29;9.40;231.00;119
21.83;985.81;70.80;9.53;230.92;119
21.82;985.82;70.85;9.72;230.83;119
21.81;985.84;70.74;9.93;230.67;119
21.80;985.86;70.61;9.99;230.49;119
21.79;985.87;70.61;10.28;230.41;119
21.79;985.89;70.95;10.42;230.24;119
21.78;985.90;70.85;10.60;230.24;119
21.77;985.89;71.11;10.62;230.32;119
21.76;985.88;70.69;10.95;230.32;119
21.76;985.88;71.13;11.05;230.41;119
21.75;985.87;71.38;11.24;230.41;119
21.74;985.87;69.58;11.47;230.32;119
21.74;985.88;69.08;11.50;230.41;119
21.75;985.88;70.58;11.65;230.32;119
21.75;985.89;71.20;11.79;230.15;119
21.76;985.90;73.19;11.73;230.15;119
21.77;985.91;74.53;11.79;229.98;119
21.78;985.93;74.94;11.71;229.98;119
21.79;985.93;75.84;11.90;230.15;119
21.79;985.90;76.75;11.86;230.24;119
21.79;985.89;77.07;11.88;230.32;119
21.80;985.88;77.36;11.92;230.41;119
21.80;985.87;77.03;12.06;230.41;119
21.80;985.87;77.59;12.17;230.49;119
21.80;985.87;77.86;12.27;230.58;119
21.80;985.86;77.40;12.40;230.58;119
21.80;985.85;77.32;12.51;230.67;119
21.80;985.86;76.95;12.48;230.58;119
21.80;985.86;76.04;12.74;230.58;119
21.80;985.86;76.34;12.72;230.67;118
21.80;985.85;77.04;12.91;230.75;119
21.80;985.84;76.32;12.98;230.75;119
21.80;985.81;76.83;13.01;231.00;119
21.81;985.81;77.12;13.16;231.09;119
21.81;985.80;77.12;13.17;231.09;119
21.81;985.79;76.93;13.29;231.26;119
21.81;985.78;76.50;13.35;231.26;119
21.81;985.78;76.39;13.52;231.18;118
21.81;985.80;77.17;13.58;231.18;118
21.82;985.78;77.92;13.56;231.26;119
21.82;985.78;77.29;13.66;231.34;118
21.82;985.76;77.74;13.65;231.52;119
21.82;985.74;77.62;13.61;231.52;118
21.83;985.73;77.76;13.78;231.69;119
21.82;985.72;76.88;13.93;231.77;118
21.82;985.72;76.49;13.84;231.77;119
21.82;985.72;76.15;14.08;231.69;118
21.82;985.73;77.56;14.06;231.60;118
21.82;985.74;77.92;14.08;231.52;118
21.82;985.75;77.70;14.13;231.52;118
21.82;985.74;77.57;14.04;231.52;118
21.82;985.74;78.10;14.28;231.60;119
21.83;985.74;78.30;14.13;231.60;118
21.82;985.75;78.31;14.26;231.43;118
21.82;985.77;77.11;14.35;231.26;118
21.82;985.77;76.17;14.30;231.34;118
21.82;985.76;73.75;14.60;231.34;118
21.82;985.76;71.43;14.73;231.34;119
21.84;985.77;74.97;14.74;231.34;118
21.86;985.78;75.42;14.74;231.34;118
21.88;985.77;75.73;14.67;231.34;118
21.89;985.77;76.90;14.65;231.34;118
21.90;985.77;76.77;14.65;231.26;119
21.91;985.78;77.45;14.57;231.26;118
21.92;985.77;77.75;14.63;231.34;118
21.92;985.76;77.77;14.60;231.43;118
21.93;985.76;77.90;14.62;231.43;118
21.93;985.74;77.22;14.60;231.52;118
21.93;985.75;75.98;14.71;231.52;118
21.93;985.75;77.16;14.75;231.43;118
21.94;985.76;77.49;14.78;231.34;118
21.94;985.78;77.04;14.79;231.26;118
21.94;985.79;76.23;14.91;231.18;118
21.93;985.79;76.12;15.01;231.18;118
21.93;985.78;75.94;14.98;231.18;118
21.92;985.78;75.68;14.96;231.18;118
21.91;985.78;75.49;15.01;231.26;119
21.90;985.78;75.36;15.20;231.26;118
21.89;985.78;75.46;15.25;231.26;118
21.88;985.79;75.50;15.25;231.09;118
21.87;985.79;75.54;15.39;231.09;118
21.86;985.80;75.47;15.46;231.09;118
21.85;985.79;75.49;15.54;231.18;118
21.83;985.78;75.44;15.58;231.18;119
21.82;985.77;75.47;15.71;231.34;118
21.81;985.76;75.54;15.63;231.43;118
21.80;985.75;75.53;15.78;231.52;118
21.79;985.73;75.57;15.83;231.69;118
21.78;985.72;75.28;16.01;231.77;118
21.77;985.72;74.48;16.04;231.77;118
21.76;985.71;75.28;16.11;231.86;118
21.75;985.71;75.83;16.04;231.86;118
21.75;985.71;76.45;16.13;231.94;118
21.75;985.71;76.64;16.14;231.86;118
21.76;985.71;75.97;16.13;231.77;118
21.76;985.72;76.32;16.21;231.69;118
21.77;985.72;76.26;16.17;231.77;118
21.78;985.73;76.33;16.25;231.69;118
21.78;985.73;76.09;16.44;231.60;118
21.79;985.75;76.19;16.38;231.52;118
21.80;985.76;76.16;16.51;231.34;118
21.80;985.77;76.37;16.45;231.34;118
21.82;985.78;76.31;16.35;231.18;118
21.82;985.78;75.70;16.58;231.18;118
21.82;985.78;75.53;16.74;231.18;118
21.82;985.79;75.49;16.78;231.09;118
21.82;985.80;75.08;16.81;231.18;118
21.81;985.78;75.12;16.81;231.18;118
21.81;985.78;75.25;17.12;231.26;118
21.80;985.79;75.36;17.11;231.18;118
21.79;985.78;75.15;17.03;231.18;118
21.78;985.79;75.43;17.18;231.18;118
21.76;985.78;75.39;17.10;231.18;118
21.75;985.79;75.65;17.37;231.18;118
21.74;985.79;75.49;17.41;231.18;118
21.73;985.79;75.33;17.53;231.09;118
21.72;985.81;75.56;17.63;231.00;118
21.71;985.81;75.66;17.62;231.00;118
21.70;985.81;75.76;17.71;230.92;118
21.69;985.80;75.87;17.62;231.18;118
21.67;985.78;76.06;17.80;231.26;118
21.66;985.76;76.00;17.80;231.34;118
21.65;985.74;76.11;17.74;231.60;118
21.65;985.72;76.35;17.95;231.77;118
21.64;985.71;76.41;18.01;231.86;118
21.63;985.71;76.34;17.93;231.86;118
21.62;985.71;76.33;18.15;231.77;118
21.61;985.72;76.20;18.17;231.69;118
21.60;985.73;76.32;18.25;231.60;118
21.59;985.74;76.54;18.26;231.52;118
21.59;985.75;76.45;18.20;231.43;118
21.58;985.75;76.52;18.15;231.52;118
